"","year","prov","sex","ageGrp","pop"
"1",2545,53,1,0,15252
"2",2545,53,1,5,17596
"3",2545,53,1,10,17164
"4",2545,53,1,15,37239
"5",2545,53,1,25,44537
"6",2545,53,1,35,42497
"7",2545,53,1,45,30368
"8",2545,53,1,55,17695
"9",2545,53,1,65,17983
"10",2545,53,2,0,14232
"11",2545,53,2,5,16531
"12",2545,53,2,10,16244
"13",2545,53,2,15,36098
"14",2545,53,2,25,44263
"15",2545,53,2,35,43310
"16",2545,53,2,45,31587
"17",2545,53,2,55,19241
"18",2545,53,2,65,22686
"19",2545,63,1,0,23092
"20",2545,63,1,5,23608
"21",2545,63,1,10,21104
"22",2545,63,1,15,43741
"23",2545,63,1,25,45116
"24",2545,63,1,35,40324
"25",2545,63,1,45,27405
"26",2545,63,1,55,15857
"27",2545,63,1,65,15167
"28",2545,63,2,0,21540
"29",2545,63,2,5,21895
"30",2545,63,2,10,19781
"31",2545,63,2,15,41412
"32",2545,63,2,25,42648
"33",2545,63,2,35,39124
"34",2545,63,2,45,27066
"35",2545,63,2,55,16391
"36",2545,63,2,65,17860
"37",2545,64,1,0,19416
"38",2545,64,1,5,23135
"39",2545,64,1,10,22178
"40",2545,64,1,15,47993
"41",2545,64,1,25,57696
"42",2545,64,1,35,55388
"43",2545,64,1,45,37007
"44",2545,64,1,55,21562
"45",2545,64,1,65,20758
"46",2545,64,2,0,17912
"47",2545,64,2,5,21581
"48",2545,64,2,10,20915
"49",2545,64,2,15,47098
"50",2545,64,2,25,58197
"51",2545,64,2,35,58234
"52",2545,64,2,45,40566
"53",2545,64,2,55,25486
"54",2545,64,2,65,29460
"55",2545,65,1,0,28173
"56",2545,65,1,5,32843
"57",2545,65,1,10,32489
"58",2545,65,1,15,73542
"59",2545,65,1,25,79282
"60",2545,65,1,35,76290
"61",2545,65,1,45,50139
"62",2545,65,1,55,29488
"63",2545,65,1,65,28516
"64",2545,65,2,0,26517
"65",2545,65,2,5,31326
"66",2545,65,2,10,30352
"67",2545,65,2,15,69697
"68",2545,65,2,25,79180
"69",2545,65,2,35,78023
