year	prov	sex	ageGrp	pop
2545 	53 	1 	0 	15252
2545 	53 	1 	5 	17596
2545 	53 	1 	10 	17164
2545 	53 	1 	15 	37239
2545 	53 	1 	25 	44537
2545 	53 	1 	35 	42497
2545 	53 	1 	45 	30368
2545 	53 	1 	55 	17695
2545 	53 	1 	65 	17983
2545 	53 	2 	0 	14232
2545 	53 	2 	5 	16531
2545 	53 	2 	10 	16244
2545 	53 	2 	15 	36098
2545 	53 	2 	25 	44263
2545 	53 	2 	35 	43310
2545 	53 	2 	45 	31587
2545 	53 	2 	55 	19241
2545 	53 	2 	65 	22686
2545 	63 	1 	0 	23092
2545 	63 	1 	5 	23608
2545 	63 	1 	10 	21104
2545 	63 	1 	15 	43741
2545 	63 	1 	25 	45116
2545 	63 	1 	35 	40324
2545 	63 	1 	45 	27405
2545 	63 	1 	55 	15857
2545 	63 	1 	65 	15167
2545 	63 	2 	0 	21540
2545 	63 	2 	5 	21895
2545 	63 	2 	10 	19781
2545 	63 	2 	15 	41412
2545 	63 	2 	25 	42648
2545 	63 	2 	35 	39124
2545 	63 	2 	45 	27066
2545 	63 	2 	55 	16391
2545 	63 	2 	65 	17860
2545 	64 	1 	0 	19416
2545 	64 	1 	5 	23135
2545 	64 	1 	10 	22178
2545 	64 	1 	15 	47993
2545 	64 	1 	25 	57696
2545 	64 	1 	35 	55388
2545 	64 	1 	45 	37007
2545 	64 	1 	55 	21562
2545 	64 	1 	65 	20758
2545 	64 	2 	0 	17912
2545 	64 	2 	5 	21581
2545 	64 	2 	10 	20915
2545 	64 	2 	15 	47098
2545 	64 	2 	25 	58197
2545 	64 	2 	35 	58234
2545 	64 	2 	45 	40566
2545 	64 	2 	55 	25486
2545 	64 	2 	65 	29460
2545 	65 	1 	0 	28173
2545 	65 	1 	5 	32843
2545 	65 	1 	10 	32489
2545 	65 	1 	15 	73542
2545 	65 	1 	25 	79282
2545 	65 	1 	35 	76290
2545 	65 	1 	45 	50139
2545 	65 	1 	55 	29488
2545 	65 	1 	65 	28516
2545 	65 	2 	0 	26517
2545 	65 	2 	5 	31326
2545 	65 	2 	10 	30352
2545 	65 	2 	15 	69697
2545 	65 	2 	25 	79180
2545 	65 	2 	35 	78023
2545 	65 	2 	45 	53289
2545 	65 	2 	55 	32707
2545 	65 	2 	65 	36773
2545 	67 	1 	0 	35532
2545 	67 	1 	5 	40291
2545 	67 	1 	10 	38942
2545 	67 	1 	15 	90612
2545 	67 	1 	25 	99655
2545 	67 	1 	35 	86575
2545 	67 	1 	45 	57923
2545 	67 	1 	55 	35401
2545 	67 	1 	65 	35535
2545 	67 	2 	0 	33440
2545 	67 	2 	5 	37914
2545 	67 	2 	10 	36538
2545 	67 	2 	15 	86517
2545 	67 	2 	25 	96429
2545 	67 	2 	35 	87444
2545 	67 	2 	45 	59474
2545 	67 	2 	55 	37404
2545 	67 	2 	65 	42936
2546 	53 	1 	0 	14507
2546 	53 	1 	5 	17448
2546 	53 	1 	10 	17236
2546 	53 	1 	15 	36106
2546 	53 	1 	25 	43625
2546 	53 	1 	35 	42677
2546 	53 	1 	45 	31559
2546 	53 	1 	55 	17895
2546 	53 	1 	65 	18486
2546 	53 	2 	0 	13541
2546 	53 	2 	5 	16469
2546 	53 	2 	10 	16299
2546 	53 	2 	15 	34888
2546 	53 	2 	25 	43377
2546 	53 	2 	35 	43494
2546 	53 	2 	45 	32908
2546 	53 	2 	55 	19473
2546 	53 	2 	65 	23324
2546 	63 	1 	0 	22738
2546 	63 	1 	5 	23576
2546 	63 	1 	10 	21591
2546 	63 	1 	15 	42916
2546 	63 	1 	25 	44207
2546 	63 	1 	35 	40519
2546 	63 	1 	45 	28066
2546 	63 	1 	55 	16076
2546 	63 	1 	65 	15458
2546 	63 	2 	0 	21278
2546 	63 	2 	5 	21969
2546 	63 	2 	10 	20131
2546 	63 	2 	15 	40650
2546 	63 	2 	25 	41911
2546 	63 	2 	35 	39485
2546 	63 	2 	45 	27823
2546 	63 	2 	55 	16510
2546 	63 	2 	65 	18138
2546 	64 	1 	0 	18305
2546 	64 	1 	5 	22882
2546 	64 	1 	10 	22509
2546 	64 	1 	15 	46353
2546 	64 	1 	25 	56641
2546 	64 	1 	35 	56193
2546 	64 	1 	45 	38556
2546 	64 	1 	55 	21792
2546 	64 	1 	65 	21390
2546 	64 	2 	0 	16801
2546 	64 	2 	5 	21292
2546 	64 	2 	10 	21301
2546 	64 	2 	15 	45327
2546 	64 	2 	25 	56989
2546 	64 	2 	35 	58855
2546 	64 	2 	45 	42223
2546 	64 	2 	55 	25669
2546 	64 	2 	65 	30318
2546 	65 	1 	0 	26603
2546 	65 	1 	5 	32890
2546 	65 	1 	10 	32436
2546 	65 	1 	15 	70966
2546 	65 	1 	25 	77916
2546 	65 	1 	35 	77245
2546 	65 	1 	45 	52353
2546 	65 	1 	55 	29758
2546 	65 	1 	65 	29448
2546 	65 	2 	0 	25276
2546 	65 	2 	5 	31108
2546 	65 	2 	10 	30314
2546 	65 	2 	15 	67570
2546 	65 	2 	25 	77500
2546 	65 	2 	35 	79472
2546 	65 	2 	45 	55649
2546 	65 	2 	55 	33191
2546 	65 	2 	65 	37825
2546 	67 	1 	0 	34436
2546 	67 	1 	5 	40317
2546 	67 	1 	10 	39876
2546 	67 	1 	15 	88279
2546 	67 	1 	25 	98983
2546 	67 	1 	35 	88469
2546 	67 	1 	45 	60793
2546 	67 	1 	55 	36406
2546 	67 	1 	65 	36589
2546 	67 	2 	0 	32369
2546 	67 	2 	5 	38055
2546 	67 	2 	10 	37280
2546 	67 	2 	15 	84232
2546 	67 	2 	25 	95693
2546 	67 	2 	35 	89568
2546 	67 	2 	45 	62634
2546 	67 	2 	55 	38404
2546 	67 	2 	65 	44154
2547 	53 	1 	0 	13915
2547 	53 	1 	5 	16931
2547 	53 	1 	10 	16894
2547 	53 	1 	15 	34680
2547 	53 	1 	25 	41979
2547 	53 	1 	35 	41990
2547 	53 	1 	45 	32309
2547 	53 	1 	55 	18054
2547 	53 	1 	65 	18579
