distID x y distcode distname provname
1 661998.82 1521244.27 1001 "Phra Nakhon" "Bangkok"
2 664118.36 1523536.30 1002 "Dusit" "Bangkok"
3 701534.55 1531315.82 1003 "Nong Chok" "Bangkok"
4 665307.72 1518225.78 1004 "Bang Rak" "Bangkok"
5 676881.70 1534103.82 1005 "Bang Khen" "Bangkok"
6 677331.12 1523942.81 1006 "Bang Kapi" "Bangkok"
7 665986.36 1519317.79 1007 "Pathum Wan" "Bangkok"
8 663362.66 1520726.29 1008 "Pom Prap Sattru Phai" "Bangkok"
9 674486.24 1514376.77 1009 "Prakanong" "Bangkok"
10 689564.60 1527887.81 1010 "Minburi" "Bangkok"
11 693879.66 1520415.33 1011 "Lat Krabang" "Bangkok"
12 666219.72 1514504.77 1012 "Yannawa" "Bangkok"
13 663054.31 1519329.25 1013 "Samphanthawong" "Bangkok"
14 667059.37 1523951.30 1014 "Phaya Thai" "Bangkok"
15 660402.41 1517141.67 1015 "Thon Buri" "Bangkok"
16 659665.46 1518978.27 1016 "Bangkok Yai" "Bangkok"
17 671217.07 1523130.28 1017 "Huai Khwang" "Bangkok"
18 662466.51 1517574.25 1018 "Khlong San" "Bangkok"
19 655420.75 1522816.88 1019 "Taling Chan" "Bangkok"
20 659137.60 1522249.79 1020 "Bangkok Noi" "Bangkok"
21 654450.96 1502519.24 1021 "Bangkhuntien" "Bangkok"
22 655946.27 1517007.28 1022 "Phasi Charoen" "Bangkok"
23 646771.30 1514679.26 1023 "Nongkheam" "Bangkok"
24 662296.43 1512228.27 1024 "Ratburana" "Bangkok"
25 661272.32 1524720.27 1025 "Bang Plad" "Bangkok"
26 668588.32 1523752.28 1026 "Din Daeng" "Bangkok"
27 678445.39 1527251.45 1027 "Bung Kum" "Bangkok"
28 665599.36 1516650.76 1028 "Sathorn" "Bangkok"
29 664894.32 1528742.31 1029 "Bangsue" "Bangkok"
30 669085.76 1529144.31 1030 "Chatuchak" "Bangkok"
31 663450.17 1514891.25 1031 "Bang Kho Laem" "Bangkok"
32 680926.15 1514925.78 1032 "Prawet" "Bangkok"
33 670476.34 1517324.78 1033 "Khlong Toei" "Bangkok"
34 676116.86 1518031.79 1034 "Suan Luang" "Bangkok"
35 658092.97 1513432.77 1035 "Chom Thong" "Bangkok"
36 672128.06 1539571.83 1036 "Don Muang" "Bangkok"
37 666765.18 1521871.30 1037 "Rat Thewi" "Bangkok"
38 674377.62 1528663.29 1038 "Lat Phrao" "Bangkok"
39 670721.42 1518129.29 1039 "Wattana" "Bangkok"
40 650276.17 1516250.27 1040 "Bang Khae" "Bangkok"
41 669642.42 1535201.31 1041 "Lak Si" "Bangkok"
42 678387.82 1538186.85 1042 "Saimai" "Bangkok"
43 681285.75 1528289.30 1043 "Kannayao" "Bangkok"
44 682498.35 1522417.31 1044 "Saphansung" "Bangkok"
45 674026.52 1523662.29 1045 "Wang Thonglang" "Bangkok"
46 687650.14 1534480.35 1046 "Khlong Sam Wa" "Bangkok"
47 674946.44 1511538.77 1047 "Bang Na" "Bangkok"
48 647959.41 1522697.69 1048 "Thawi Wattana" "Bangkok"
49 661901.92 1506844.27 1049 "Thungkru" "Bangkok"
50 650600.41 1510164.25 1050 "Bang Bon" "Bangkok"
51 680651.60 1501881.72 1101 "Muang Samut Prakarn" "Samut Prakarn"
52 701708.28 1502800.20 1102 "Bang Bo" "Samut Prakarn"
53 685553.10 1506689.27 1103 "Bang Plee" "Samut Prakarn"
54 668205.18 1509859.74 1104 "Phra Pra Daeng" "Samut Prakarn"
55 664252.63 1499107.71 1105 "Phra Samut Jadee" "Samut Prakarn"
56 696436.31 1507312.77 1106 "Bang Sao Thong" "Samut Prakarn"
57 661038.45 1531690.79 1201 "Muang Nonthaburi" "Nonthaburi"
58 653216.19 1527806.79 1202 "Bang Kruai" "Nonthaburi"
59 647914.94 1532996.27 1203 "Bang Yai" "Nonthaburi"
60 650195.47 1540978.30 1204 "Bang Bua Thong" "Nonthaburi"
61 641540.96 1548999.81 1205 "Sai Noi" "Nonthaburi"
62 659259.64 1541085.87 1206 "Pak Kret" "Nonthaburi"
63 664930.89 1548396.32 1301 "Muang Pathum Thani" "Pathumthani"
64 680115.54 1560116.85 1302 "Khlong Luang" "Pathumthani"
65 689530.77 1552224.85 1303 "Thanyaburi" "Pathumthani"
66 699931.17 1566113.87 1304 "Nong Sua" "Pathumthani"
67 652471.82 1552956.31 1305 "Lat Lum Kaeo" "Pathumthani"
68 690009.38 1547802.34 1306 "Lam Luk Ka" "Pathumthani"
69 662584.48 1556957.84 1307 "Sam Khok" "Pathumthani"
70 668441.51 1586136.89 1401 "Phra Nakhon Sri Ayutthaya" "Phra Nakhon Sri Ayutthaya"
