plotID	x	y	colour
1	676582.74	1517600.81	honeydew2
2	684275.01	1503866.75	honeydew3
3	652997.39	1543833.83	honeydew4
4	677131	1559243.85	honeydew5
5	663511.59	1591543.9	honeydew6
6	645560.01	1616665.93	honeydew7
7	706643.17	1672466.04	honeydew8
8	643625.33	1649618.47	honeydew9
9	611054.24	1676110.5	honeydew10
10	716988.92	1619999.98	honeydew11
11	747072.91	1448944.17	honeydew12
12	761548.77	1424616.63	honeydew13
13	837552.26	1418446.22	honeydew14
14	872483.22	1351707.11	honeydew15
15	761900.26	1502487.81	honeydew16
16	783561.83	1555115.94	honeydew17
17	738497.14	1574991.93	honeydew18
18	869655.58	1518819.49	honeydew19
19	832788.15	1657189.16	honeydew20
20	922927.66	1657559.8	honeydew21
21	992768.26	1652098.94	honeydew22
22	1083491.63	1659601.14	honeydew23
23	1145055.1	1684431.83	honeydew24
24	1080011.38	1756516.73	honeydew25
25	809094.07	1772769.77	honeydew26
26	1115292.85	1768102.31	lightpink
27	854865.42	1906973.39	honeydew26
28	869068.31	1812540.86	honeydew27
29	908390.55	1932724.96	lightpink
30	765079.03	1935720.78	lightpink
31	936884.92	1997165.49	lightpink
32	946364.72	1776171.97	honeydew26
33	1015676.54	1768938.59	honeydew27
34	998459.23	1845047.6	honeydew28
35	1015293.88	1933407.64	lightpink
36	1042146.88	1932519.68	lightpink
37	1090662.67	1837921.78	lightpink
38	477424.71	2069048.18	honeydew28
39	499155.44	1997952.19	honeydew29
40	553042.26	2024771.69	honeydew30
41	663308.25	1965873.73	honeydew31
42	601338.66	2020145.21	honeydew32
43	694328.63	2082269.23	honeydew33
44	622576.99	2131456.18	honeydew34
45	596155.39	2182385.64	honeydew35
46	394570	2070788.22	honeydew36
47	603725.27	1728971.06	honeydew37
48	558535.1	1698387.01	honeydew38
49	555694.53	1811605.12	honeydew39
50	459280.27	1827178.14	honeydew40
51	575715.73	1907531.69	honeydew41
52	656628.51	1883495.7	honeydew42
53	646665.63	1800334.66	honeydew43
54	736234.6	1795792.7	honeydew44
55	566622.45	1497835.18	honeydew45
56	503795.55	1624699.41	honeydew46
57	608820.32	1610978.4	honeydew47
58	616893.84	1538563.77	honeydew48
59	632431.84	1501799.13	honeydew49
60	604670.86	1479119.64	honeydew50
61	565683.73	1430823.02	honeydew51
62	579261.23	1304955.16	honeydew52
63	586514.16	948619.64	honeydew53
64	502264.45	903323.58	honeydew54
65	440103.78	966510.08	honeydew55
66	428518.2	881999.89	honeydew56
67	512914.98	996838.67	honeydew57
68	464473.46	1110333.93	honeydew58
69	508067.15	1140294.55	honeydew59
70	673757.91	786734.95	honeydew60
71	604277.98	749118.01	honeydew61
72	569653.84	832369.69	honeydew62
73	619840.35	828622.51	honeydew63
74	762417.9	746887.07	honeydew64
75	745394.36	680199.32	honeydew65
76	802362.6	684652.49	honeydew66
