provID	plotID	x	y	muang	provname
10	1	662195.79	1521269.68	1001	"Bangkok"
11	2	680376.63	1498119.12	1101	"Samut Prakarn"
12	3	659780.52	1530539.38	1201	"Nonthaburi"
13	4	665793.61	1549653.82	1301	"Pathumthani"
14	5	658504.60	1569288.74	1401	"Phra Nakhon Sri Ayutthaya"
15	6	645659.45	1610706.49	1501	"Angthong"
16	7	675237.99	1636427.81	1601	"Lopburi"
17	8	641570.74	1639708.47	1701	"Singburi"
18	9	617537.60	1663729.22	1801	"Chainat"
19	10	704759.19	1600115.80	1901	"Saraburi"
20	11	712932.12	1464734.55	2001	"Chonburi"
21	12	747625.62	1404441.98	2101	"Rayong"
22	13	830893.90	1392776.81	2201	"Chanthaburi"
23	14	887749.89	1359757.59	2301	"Trat"
24	15	708296.93	1519288.48	2401	"Chachoengsao"
25	16	750989.14	1548132.64	2501	"Prachinburi"
26	17	740200.99	1575321.74	2601	"Nakhon Nayok"
27	18	836340.34	1531603.04	2701	"Srakaeo"
30	19	828365.05	1649416.52	3001	"Nakhon Ratchasima"
31	20	939568.74	1658363.61	3101	"Buri Ram"
32	21	986460.75	1654707.58	3201	"Surin"
33	22	1067383.00	1664454.41	3301	"Si Sa Ket"
34	23	1121415.72	1687322.23	3401	"Ubon Ratchathani"
35	24	1055770.52	1749907.93	3501	"Yasothon"
36	25	823831.91	1745727.90	3601	"Chaiyaphum"
37	26	1101038.03	1753570.22	3701	"Amnat Charoen"
39	27	857025.74	1890622.77	3901	"Nong Bua Lam Phu"
40	28	904624.53	1815703.51	4001	"Khon Kaen"
41	29	896858.41	1914189.29	4101	"Udon Thani"
42	30	784524.81	1929544.68	4201	"Loei"
43	31	900653.93	1968114.15	4301	"Nongkai"
44	32	958610.25	1781971.58	4401	"Maha Sarakham"
45	33	986533.07	1765359.99	4501	"Roi Et"
46	34	991895.04	1825467.99	4601	"Kalasin"
47	35	1038827.06	1897756.85	4701	"Sakon Nakhon"
48	36	1096322.48	1915050.54	4801	"Nakhon Phanom"
49	37	1096942.02	1833506.44	4901	"Mukdahan"
50	38	496711.73	2073516.65	5001	"Chiang Mai"
51	39	501018.04	2049193.21	5101	"Lamphun"
52	40	551459.87	2030934.49	5201	"Lamphang"
53	41	620508.49	1947511.35	5301	"Uttaradit"
54	42	625142.56	1996641.58	5401	"Phrae"
55	43	682158.85	2079416.36	5501	"Nan"
56	44	593795.52	2121317.15	5601	"Phayao"
57	45	577727.49	2192939.22	5701	"Chiang Rai"
58	46	396913.20	2119244.99	5801	"Mae Hong Son"
60	47	615332.13	1728725.07	6001	"Nakhon Sawan"
61	48	604668.00	1698374.67	6101	"Uthai Thani"
62	49	542787.36	1825044.07	6201	"Kamphaeng Phet"
63	50	514595.79	1853378.57	6301	"Tak"
64	51	578199.52	1871727.09	6401	"Sukhothai"
65	52	633112.97	1850282.98	6501	"Phitsanulok"
66	53	643528.40	1808207.86	6601	"Phichit"
67	54	731467.01	1807859.72	6701	"Phetchabun"
70	55	579930.98	1485365.92	7001	"Ratchburi"
71	56	528077.61	1547956.45	7101	"Kanchanaburi"
72	57	609988.25	1589916.24	7201	"Supanburi"
73	58	605352.34	1518005.91	7301	"Nakhon Pathom"
74	59	644763.38	1495616.47	7401	"Samut Sakhon"
75	60	600143.38	1473597.05	7501	"Samut Songkram"
76	61	600934.31	1437976.88	7601	"Petchburi"
77	62	576655.52	1302783.48	7701	"Prachaubkirikhan"
80	63	604553.26	924615.35	8001	"Nakhon Sri Thammarat"
81	64	520405.26	860013.49	8101	"Krabi"
82	65	440523.41	926439.23	8201	"Phangnga"
83	66	429961.71	878951.21	8301	"Phuket"
84	67	533039.74	1002855.54	8401	"Surat Thani"
85	68	449364.58	1058659.87	8501	"Ranong"
86	69	505319.03	1123910.47	8601	"Chumphon"
90	70	667027.49	776173.41	9001	"Songkhla"
91	71	614021.33	738288.35	9101	"Satun"
92	72	565569.08	837538.39	9201	"Trang"
93	73	609585.31	835865.69	9301	"Phatthalung"
94	74	737488.22	745899.91	9401	"Pattani"
95	75	743058.87	717502.41	9501	"Yala"
96	76	801464.77	700792.21	9601	"Narathiwat"
