plotid	x	y	distname	distcode
1	661283.16	1520749.76	Praborommaharatchawang	100101
2	662064.73	1519947.25	Wang Burapaphirom	100102
3	662062.50	1520645.27	Wat Ratchaborphit	100103
4	662540.04	1520771.96	Samran Rat	100104
5	661813.55	1521050.75	San Chao Pho Sua	100105
6	662179.41	1521021.76	Sao Ching Cha	100106
7	662190.31	1521493.17	Bowon Niwet	100107
8	661854.47	1521709.77	Talat Yot	100108
9	661590.60	1521878.76	Chana Songkhram	100109
10	662488.72	1521861.77	Ban Phan Thom	100110
11	662728.58	1522227.59	Bang Khun Phrom	100111
12	662063.93	1522532.26	Wat Sampraya	100112
13	663529.48	1523013.30	Dusit	100201
14	662682.65	1523663.26	Wachira Payaban	100202
15	664466.89	1522562.28	Suan Chitlada	100203
16	664031.97	1521505.27	Sa Waek Mahanak	100204
17	664501.51	1524713.79	Tanon Nakorn Chai	100206
18	704817.66	1528887.55	Krathum Rai	100301
19	702043.77	1534692.33	Nong Chok	100302
20	696967.53	1538962.84	Khlong Sip	100303
21	703408.44	1539204.33	Klong Sibsong	100304
22	697663.85	1530080.82	Khok Fast	100305
23	695726.98	1534481.32	Khu Fang Nua	100306
24	699129.70	1526066.81	Lam Phak Chi	100307
25	702683.67	1524162.30	Lam Toi Ting	100308
26	664681.17	1518913.76	Maha Phrutharam	100401
27	665505.57	1517777.18	Silom	100402
28	665152.77	1518073.07	Surawong	100403
29	663831.36	1517949.19	Bang Rak	100404
30	664956.36	1518348.75	Si Phraya	100405
31	673765.06	1534127.81	Anusaowari	100502
32	678642.93	1533389.82	Tha Raeng	100508
33	676787.69	1525282.30	Khlong Chan	100601
34	677331.13	1521532.26	Hua Mak	100608
35	664445.78	1520042.86	Rong Muang	100701
36	665120.45	1519710.19	Wang Mai	100702
37	666030.49	1519538.18	Pathum Wan	100703
38	667113.87	1519127.79	Lumphini	100704
39	663403.84	1519902.27	Pomprab	100801
40	663508.07	1520505.28	Wat Dep Sirin	100802
41	663616.12	1520943.33	Khlong Maha Nak	100803
42	662885.22	1520763.27	Ban Bat	100804
43	663414.10	1521716.78	Wat Somanat	100805
44	674486.25	1514376.77	Bang Chak	100905
45	686309.46	1527109.82	Minburi	101001
46	691661.54	1528035.81	San Sab	101002
47	689209.16	1517845.28	Lat Krabang	101101
48	686279.74	1521157.76	Klong Song Ton Nun	101102
49	689683.95	1521427.30	Klong Sam Prawet	101103
50	694741.90	1522503.79	Lam Pla Tiew	101104
51	696341.30	1519232.80	Thab Yao	101105
52	700471.72	1518853.83	Khum Thong	101106
53	666846.31	1514922.76	Chong Nonsi	101203
54	665993.51	1513388.75	Bang Pong Pang	101204
55	662689.61	1519640.18	Chakkrawat	101301
56	663334.95	1519619.63	Samphanthawong	101302
57	663678.42	1518961.58	Talat Noi	101303
58	667059.37	1523951.29	Samsen Ni	101401
59	661431.48	1519166.14	Wat Kallaya	101501
60	661103.28	1518546.33	Wat Ki Rumruche	101502
61	660667.62	1517458.30	Bang Yi Rua	101503
62	660824.96	1515930.68	Bukkalo	101504
63	659399.62	1516888.37	Talat Plu	101505
64	660662.03	1519762.33	Wat Arun	101601
65	659440.94	1518865.79	Wat Tha Pra	101602
66	670371.57	1523074.64	Huai Khwang	101701
67	671217.07	1520999.12	Bang Kapi	101702
68	671322.42	1524261.78	Samsen Nok	101704
69	662008.46	1518724.27	Somdet Chao Phraya	101801
70	662469.51	1518549.28	Khlong San	101802
71	662432.07	1516554.25	Bang Lam Phu Lang	101803
72	662466.51	1517678.25	Klong Ton Sai	101804
73	657153.39	1521963.27	Klong Chak Pra	101901
74	656493.76	1524775.99	Taling Chan	101902
75	654777.41	1524540.35	Chim Plee	101903
76	655000.97	1520775.70	Bang Prom	101904
77	654692.77	1522585.76	Bang Ra Mat	101905
78	653260.95	1520514.74	Bang Chuek Nang	101907
79	660100.31	1521291.30	Siri Rat	102004
80	659631.47	1520918.26	Ban Chang Lo	102005
81	658448.02	1522890.76	Bang Khun Non	102006
82	658150.45	1521623.81	Bang Khun Sri	102007
83	659814.31	1523161.28	Arun Amarin	102009
84	655276.51	1502166.20	Tha Kham	102105
85	652704.61	1506804.22	Samae Dam	102107
86	654779.87	1515652.77	Bang Wa	102201
87	655295.30	1517628.26	Bang Duan	102202
88	657121.45	1518255.76	Bang Chak	102206
89	656257.74	1519132.75	Bang Wak	102207
90	653831.91	1519269.33	Khlong Khwang	102208
91	658210.01	1517625.54	Pak Klong Pasricharoen	102209
92	657758.64	1518813.77	Khuha Sawan	102210
93	646872.07	1512587.25	Nongkheam	102302
94	646364.82	1516605.18	Nong Kang Plu	102303
95	663354.22	1511712.76	Ratburana	102401
96	661352.52	1512332.26	Bangpakok	102402
97	660722.22	1524867.42	Bang Plad	102501
98	662795.48	1526190.77	Bang O	102502
99	660089.52	1524006.02	Bang Tamru	102503
100	661285.68	1523110.27	Bang Yi Khan	102504
101	668588.33	1523752.28	Din Daeng	102601
102	678445.39	1527251.45	Klong Kum	102701
103	665145.22	1516085.26	Thung Wat Don	102801
104	664517.52	1516890.57	Yannawa	102802
105	666826.38	1516860.78	Thung Maha Mek	102803
106	664894.32	1528742.30	Bangsue	102901
107	669085.76	1529144.31	Lat Yao	103001
108	662083.67	1514679.26	Bang Kho Laem	103101
109	663120.11	1515688.76	Wat Prayakrai	103102
110	664021.32	1514483.75	Bang Klo	103103
111	681652.94	1517036.79	Prawet	103201
112	679080.05	1513669.27	Nong Bon	103202
113	682594.45	1513174.70	Dok Mai	103203
114	668675.01	1517499.29	Khlong Toei	103301
115	669991.22	1517765.74	Khlong Ton	103302
116	671876.74	1516333.77	Phra Kanong	103303
117	676116.86	1518031.79	Suan Luang	103401
118	656820.76	1514524.76	Bangkhuntien	103501
119	658947.18	1515720.76	Bangko	103502
120	658956.42	1511758.25	Bangmot	103503
121	658801.37	1513875.26	Chom Thong	103504
122	672128.06	1539571.83	Si Khan	103602
123	665465.19	1522147.27	Thung Phaya Thai	103701
124	666289.09	1521535.22	Thanon Phaya Thai	103702
125	665499.47	1520992.00	Thanon Phetchaburi	103703
126	667941.32	1521263.09	Makkasan	103704
127	674377.62	1528415.31	Lat Phrao	103801
128	673969.52	1530452.78	Chorake Bua	103802
129	668752.65	1519683.76	Khlongtoei Nua	103901
130	671511.76	1518856.30	Khlong Tan Nua	103902
131	672591.01	1517107.27	Phra Kanong Nua	103903
132	651635.03	1514325.21	Bang Khae	104001
133	651392.27	1517290.60	Bang Kae Nua	104002
134	649764.65	1519466.78	Bang Phai	104003
135	649807.39	1514786.26	Lak Song	104004
136	669230.92	1535201.31	Thung Song Hong	104101
137	670684.83	1534237.31	Talat Bang Khen	104102
138	679057.72	1539640.32	Saimai	104201
139	680627.52	1536794.34	O-Ngoen	104202
140	676322.79	1537422.84	Klong Tanon	104203
141	681285.74	1528289.30	Kannayao	104301
142	682498.34	1522417.31	Saphansung	104401
143	674026.52	1523662.29	Wang Thonglang	104501
144	684329.30	1536367.71	Sam Wa Tawan Tok	104601
145	690683.61	1537196.38	Sam Wa Tawan Ok	104602
146	683845.74	1530726.84	Bang Chan	104603
147	688936.73	1531752.76	Sai Kong Din	104604
148	691709.09	1532012.33	Sai Kong  Din Tai	104605
149	674946.44	1511538.78	Bang Na	104701
150	647810.57	1521375.18	Thawi Wattana	104801
151	647959.41	1524084.71	Sala Thammasop	104802
152	661758.68	1509307.74	Bangmot	104901
153	661975.89	1505838.74	Thungkru	104902
154	650600.41	1510164.25	Bang Bon	105001
155	672968.69	1504146.24	Pak Nam	110101
156	675253.04	1509103.73	Samrong Nua	110102
157	675904.80	1505053.75	Bang Muang	110103
158	673418.44	1500251.74	Tai Ban	110104
159	680938.26	1496192.71	Bang Pu Mai	110108
160	679435.35	1501151.23	Phraeksa	110110
161	669113.48	1506701.75	Bang Prong	110111
162	689621.67	1494518.74	Bang Pu	110112
163	670874.83	1506548.75	Bang Duan	110113
164	673668.48	1506497.74	Bang Muang Mai	110114
165	676579.73	1506927.20	Thepharak	110115
166	674931.88	1500676.44	Tai Ban Mai	110116
167	680588.29	1501151.23	Phreak Sa Mai	110117
168	701800.09	1504378.76	Bang Bo	110201
169	704258.67	1503760.75	Ban Rakat	110202
170	706187.63	1504331.27	Bang Phli Noi	110203
171	695575.22	1498473.74	Bang Phriang	110204
172	697631.37	1494471.23	Khlong Dan	110205
173	708504.49	1510732.27	Khlong Suan	110206
174	704348.42	1511896.71	Preng	110207
175	709392.29	1506994.74	Khlong Niyomyatra	110208
176	683628.31	1506007.74	Bangphli Yai	110301
177	680149.90	1508793.27	Bang Kaeo	110302
178	687811.80	1500159.75	Bang Pla	110303
179	689994.51	1506867.55	Bang Chalong	110304
180	687507.14	1511983.27	Rachathewa	110308
181	690056.47	1513434.72	Nong Pru	110309
182	666059.31	1510337.25	Talat	110401
